length,result
1.0,5.025236253992747
2.0,5.014358975663495
3.0,5.001566229722466
4.0,4.997201295746587
5.0,5.002920076736007
6.0,5.011623629107963
7.0,5.014364492190522
8.0,5.008799503565498
9.0,5.000117007303841
10.0,4.995293992901565
11.0,4.997877631182946
12.0,5.0059857214854695
13.0,5.014883321420859
14.0,5.020677374949035
15.0,5.023004477893735
16.0,5.022319150134925
17.0,5.021274360488559
18.0,5.022429904459135
19.0,5.026425559371061
20.0,5.031949870109741
21.0,5.037042534337073
22.0,5.040524552108682
23.0,5.04252633594258
24.0,5.044143687305573
25.0,5.046636291676575
26.0,5.050549352110654
27.0,5.055672545854383
28.0,5.061429337383422
29.0,5.066892379266189
