length,result
1.0,0.0443665884140457
2.0,0.005653508107277478
3.0,0.005128218256408736
4.0,0.0038190865025355862
5.0,0.0025283712738154874
6.0,0.0018536607598017057
7.0,0.0015303250359235215
8.0,0.001226593718936539
9.0,0.0010317775705061913
10.0,0.0009188779095008946
11.0,0.000805277615246017
12.0,0.0007675454217660469
13.0,0.0007052749325326606
14.0,0.000705366256686878
15.0,0.0007161133032856421
16.0,0.000754583437633722
17.0,0.000814532508519256
18.0,0.0008717947052360403
19.0,0.0009318078090948523
20.0,0.0010006273376926087
21.0,0.0010722748712098415
22.0,0.0011497733002044219
23.0,0.001226326892221558
24.0,0.0013289186213756433
25.0,0.0013362877676882177
26.0,0.0014309349801218396
27.0,0.0013660225143920766
28.0,0.001361267909028045
29.0,0.0013348183356927164
30.0,0.0012870145656389332
31.0,0.0012506059120641
32.0,0.0012286015188338489
33.0,0.00120939259575288
34.0,0.0011781477965099438
35.0,0.0011530621445325474
36.0,0.0011453733555699327
37.0,0.0011266413655240555
38.0,0.0011047583105905417
39.0,0.001089677734280167
40.0,0.0010802549391917375
41.0,0.0010647104950497455
42.0,0.0010455439293466657
43.0,0.0010348714017451226
44.0,0.0010244916887386377
45.0,0.001010577162906131
46.0,0.0009967351731823711
47.0,0.00098775319799748
48.0,0.0009781334233841439
49.0,0.000967105188422052
