length,result
1.0,0.1596783066744954
2.0,0.038561674536323004
3.0,0.011673030950808717
4.0,0.007983476413857098
5.0,0.005713126563390692
6.0,0.00493752747333048
7.0,0.0044704146549566165
8.0,0.0038572883923353846
9.0,0.003431343281267949
10.0,0.003191963480888081
11.0,0.0030811450675155513
12.0,0.002962527617557168
13.0,0.003026384333004309
14.0,0.002931616056982416
15.0,0.0029963293765926605
16.0,0.003003697039624314
17.0,0.0029867402118558097
18.0,0.0030665626497176322
19.0,0.0030849993424063357
20.0,0.0031581149240907484
21.0,0.003201465462674031
22.0,0.003285289650179911
23.0,0.003320935010323672
24.0,0.0034126297326376727
25.0,0.0034781732390705804
26.0,0.0035473848856411184
27.0,0.00363674293237028
28.0,0.003684279935361407
29.0,0.0038441705940097863
