length,result
1.0,0.06179324731812641
2.0,0.007499515911378339
3.0,0.002715946301873078
4.0,0.0006350513537025917
5.0,0.0005105996224476498
6.0,0.0004855277647036645
7.0,0.0003869038797420449
8.0,0.00038600657526677415
9.0,0.00039067985885192193
10.0,0.00041714385421106953
11.0,0.00045211242090924795
12.0,0.0004931923916663685
13.0,0.0005260421319176505
14.0,0.000560601737179036
15.0,0.0006000967807059911
16.0,0.0006368654449448498
17.0,0.0006731075417267427
18.0,0.0007081444485027924
19.0,0.0007436353081854584
20.0,0.0007786574774933104
21.0,0.000815921022608788
22.0,0.0008539368680804999
23.0,0.0008824830180565915
24.0,0.0009199208680465019
25.0,0.0009318228205277716
26.0,0.0009243006405345308
27.0,0.0009115183020358924
28.0,0.000908717184216297
29.0,0.0009004272095524073
30.0,0.000899883277482692
31.0,0.0008911390275895738
32.0,0.0008909997053993113
33.0,0.0008883835527893418
34.0,0.000885046495397769
35.0,0.0008857592075017341
36.0,0.0008843064639627166
37.0,0.0008835296429274022
38.0,0.0008837429869180662
39.0,0.0008836826670655821
40.0,0.000883270527622333
41.0,0.0008834876696967571
42.0,0.0008836705263758522
43.0,0.0008833984213172297
44.0,0.0008835922705566273
45.0,0.0008838345772312414
46.0,0.0008837410414257294
47.0,0.0008836769366821783
48.0,0.0008838018684304969
49.0,0.0008838335303549714
