length,result
1.0,0.06353588490464539
2.0,0.018547315824423392
3.0,0.0013848222444593828
4.0,0.0011055705421032713
5.0,0.0005141832305838931
6.0,0.0004035839729289311
7.0,0.00037250248281010535
8.0,0.00036738173138486994
9.0,0.0003897126209046932
10.0,0.000420722908325568
11.0,0.00045381893450378776
12.0,0.00048700273969252126
13.0,0.0005227486091519721
14.0,0.000558034913059063
15.0,0.0005949054183626422
16.0,0.0006306834294644188
17.0,0.0006685205067015898
18.0,0.0007073440913399173
19.0,0.0007449131950035996
20.0,0.0007838704617580605
21.0,0.0008233549724976405
22.0,0.0008649735954239343
23.0,0.0009100172763798551
24.0,0.000942247290747196
25.0,0.0009386917809744469
26.0,0.0009245591683330237
27.0,0.0009141127671548448
28.0,0.0009094707385993317
29.0,0.0009020676311247188
30.0,0.0008977664279409726
31.0,0.0008915689461922024
32.0,0.0008896940137928884
33.0,0.0008865005871987242
34.0,0.0008849763083047276
35.0,0.0008841787110557701
36.0,0.0008833029030153104
37.0,0.0008831901264247708
38.0,0.0008830682571712066
39.0,0.0008831540647143293
40.0,0.0008832429954105404
41.0,0.0008832666462261901
42.0,0.0008832899570703299
43.0,0.0008833038223954248
44.0,0.0008833123679251567
45.0,0.0008832964780287748
46.0,0.0008833535802405606
47.0,0.0008834221833585729
48.0,0.0008834459727636272
49.0,0.0008834881339413236
